Fold,Decision Tree,Random Forest,SVM
1,0.9941603944977939,0.9963664676875162,0.978
2,0.996106929665196,0.996106929665196,0.9806666666666667
3,0.9936413184531534,0.9946794705424344,0.9826666666666667
4,0.9946794705424344,0.995198546587075,0.9846666666666667
5,0.9948092395535946,0.9954580846093952,0.978
6,0.994290163508954,0.9958473916428757,0.9826666666666667
7,0.9946794705424344,0.9957176226317156,0.986
8,0.9958468526930565,0.9962362102530824,0.9846666666666667
9,0.9950681375730045,0.9959766385463984,0.9846666666666667
10,0.9957170668397145,0.9955872809863725,0.9866666666666667
